        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 3.38252-6 1.01337+1 7.41337+1-5.01645+1 6.02982+1 1.46184+1 0.0       1.46184+1 5.35889+3
 3.38533-6 1.36466+1 7.76466+1-5.01649+1 6.38115+1 1.78008+1 0.0       1.78008+1 5.76710+3
 3.39078-6 1.99500+1 8.39500+1-5.01656+1 7.01156+1 2.58414+1 0.0       2.58414+1 6.60481+3
 3.39362-6 2.33935+1 8.73935+1-5.01660+1 7.35595+1 3.06730+1 0.0       3.06730+1 7.05974+3
 3.40191-6 3.06146+1 9.46146+1-5.01671+1 8.07817+1 4.89731+1 0.0       4.89731+1 8.43881+3
 3.40702-6 3.26682+1 9.66682+1-5.01678+1 8.28359+1 6.38363+1 0.0       6.38363+1 9.29959+3
 3.41213-6 3.17299+1 9.57299+1-5.01684+1 8.18984+1 7.87439+1 0.0       7.87439+1 1.01431+4
 3.41629-6 2.90822+1 9.30822+1-5.01690+1 7.92512+1 9.19101+1 0.0       9.19101+1 1.08006+4
 3.42253-6 2.09986+1 8.49986+1-5.01698+1 7.11684+1 1.11719+2 0.0       1.11719+2 1.17079+4
 3.42564-6 1.50224+1 7.90224+1-5.01702+1 6.51927+1 1.21650+2 0.0       1.21650+2 1.21143+4
 3.42876-6 6.95422+0 7.09542+1-5.01706+1 5.71249+1 1.31599+2 0.0       1.31599+2 1.24824+4
 3.43292-6-5.35964+0 5.86404+1-5.01712+1 4.48116+1 1.41618+2 0.0       1.41618+2 1.29053+4
 3.43500-6-1.19195+1 5.20805+1-5.01715+1 3.82520+1 1.46636+2 0.0       1.46636+2 1.30850+4
 3.43708-6-1.96153+1 4.43847+1-5.01717+1 3.05565+1 1.51660+2 0.0       1.51660+2 1.32420+4
 3.44258-6-4.13573+1 2.26427+1-5.01725+1 8.81521+0 1.60034+2 0.0       1.60034+2 1.35416+4
 3.44440-6-5.01352+1 1.38648+1-5.01727+1 3.75037-2 1.61388+2 0.0       1.61388+2 1.36022+4
 3.44622-6-5.76708+1 6.32919+0-5.01730+1-7.49778+0 1.61661+2 0.0       1.61661+2 1.36429+4
 3.44894-6-6.03101+1 3.68986+0-5.01734+1-1.01367+1 1.62071+2 0.0       1.62071+2 1.36670+4
 3.45030-6-5.46363+1 9.36369+0-5.01737+1-4.46266+0 1.62276+2 0.0       1.62276+2 1.36624+4
 3.45098-6-5.16131+1 1.23869+1-5.01738+1-1.43935+0 1.62378+2 0.0       1.62378+2 1.36559+4
 3.45270-6-4.31371+1 2.08629+1-5.01740+1 7.03692+0 1.61120+2 0.0       1.61120+2 1.36272+4
 3.45995-6-1.44501+1 4.95499+1-5.01751+1 3.57250+1 1.51567+2 0.0       1.51567+2 1.33160+4
 3.46255-6-4.63073+0 5.93693+1-5.01755+1 4.55448+1 1.44724+2 0.0       1.44724+2 1.31332+4
 3.47035-6 1.67756+1 8.07756+1-5.01767+1 6.69524+1 1.24132+2 0.0       1.24132+2 1.23839+4
 3.47482-6 2.60417+1 9.00417+1-5.01774+1 7.62192+1 1.09876+2 0.0       1.09876+2 1.18362+4
 3.48154-6 3.44240+1 9.84240+1-5.01785+1 8.46024+1 8.84220+1 0.0       8.84220+1 1.08921+4
 3.48825-6 3.71150+1 1.01115+2-5.01795+1 8.72945+1 6.68848+1 0.0       6.68848+1 9.84763+3
 3.49312-6 3.54042+1 9.94042+1-5.01802+1 8.55845+1 5.28263+1 0.0       5.28263+1 9.05711+3
 3.49822-6 3.17740+1 9.57740+1-5.01811+1 8.19550+1 4.04561+1 0.0       4.04561+1 8.22151+3
 3.50141-6 2.85230+1 9.25230+1-5.01816+1 7.87046+1 3.34054+1 0.0       3.34054+1 7.70442+3
 3.50649-6 2.30179+1 8.70179+1-5.01824+1 7.32004+1 2.45854+1 0.0       2.45854+1 6.90075+3
 3.50970-6 1.90815+1 8.30815+1-5.01830+1 6.92644+1 1.95350+1 0.0       1.95350+1 6.40977+3
 3.51799-6 9.46942+0 7.34694+1-5.01843+1 5.96538+1 1.01626+1 0.0       1.01626+1 5.23032+3
 3.52302-6 3.50477+0 6.75048+1-5.01852+1 5.36900+1 6.20533+0 0.0       6.20533+0 4.58742+3
 3.53458-6-8.76677+0 5.52332+1-5.01871+1 4.14203+1 1.26141-7 0.0       1.26141-7 3.33417+3
 3.53865-6-1.30545+1 5.09455+1-5.01878+1 3.71333+1 1.00120-7 0.0       1.00120-7 2.96823+3
 3.54520-6-1.78190+1 4.61810+1-5.01889+1 3.23699+1 6.32407-8 0.0       6.32407-8 2.45756+3
 3.54705-6-1.89476+1 4.50524+1-5.01892+1 3.12416+1 5.63993-8 0.0       5.63993-8 2.32952+3
 3.55545-6-2.32938+1 4.07062+1-5.01906+1 2.68968+1 3.36100-8 0.0       3.36100-8 1.83124+3
 3.56385-6-2.67437+1 3.72563+1-5.01920+1 2.34482+1 1.84891-8 0.0       1.84891-8 1.45049+3
 3.57225-6-2.95835+1 3.44165+1-5.01934+1 2.06099+1 9.38898-9 0.0       9.38898-9 1.16376+3
 3.58065-6-3.19770+1 3.20230+1-5.01948+1 1.82178+1 0.0       0.0       0.0       9.49431+2
 3.59777-6-3.58785+1 2.81215+1-5.01976+1 1.43191+1 0.0       0.0       0.0       6.64244+2
 3.62346-6-4.01322+1 2.38678+1-5.02019+1 1.00697+1 0.0       0.0       0.0       4.40394+2
 3.64914-6-4.32141+1 2.07859+1-5.02061+1 6.99203+0 0.0       0.0       0.0       3.20454+2
 3.65812-6-4.41042+1 1.98958+1-5.02076+1 6.10343+0 8.3066-15 0.0       8.3066-15 2.90652+2
 3.66710-6-4.49185+1 1.90815+1-5.02091+1 5.29059+0 1.6437-14 0.0       1.6437-14 2.65044+2
 3.67609-6-4.56671+1 1.83329+1-5.02106+1 4.54357+0 3.0023-14 0.0       3.0023-14 2.42840+2
 3.68507-6-4.63581+1 1.76419+1-5.02121+1 3.85400+0 5.0622-14 0.0       5.0622-14 2.23436+2
 3.69405-6-4.69989+1 1.70011+1-5.02136+1 3.21469+0 7.8793-14 0.0       7.8793-14 2.06357+2
 3.70196-6-4.75267+1 1.64733+1-5.02149+1 2.68822+0 1.0910-13 0.0       1.0910-13 1.92936+2
 3.71298-6-4.82127+1 1.57873+1-5.02167+1 2.00400+0 1.72294-8 0.0       1.72294-8 1.76367+2
 3.72018-6-4.86359+1 1.53641+1-5.02179+1 1.58208+0 6.96181-8 0.0       6.96181-8 1.66682+2
